fuente,id_aviso,tipo,titulo,barrio,barrio_corto,precio,moneda,ambientes,dormitorios,banos,metros_cubiertos,metros_totales,expensas_ars,antiguedad,usd_por_m2,url
argenprop,18667038,Departamento,Divino departamento de tres ambientes más dependencia a la venta en Recoleta.,"Arenales  1378, Recoleta, Capital Federal",Recoleta,223000.0,USD,,2.0,,97.0,,450000.0,35.0,2299.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-3-ambientes--18667038
argenprop,19620824,Departamento,"Semipiso de Estilo. Tres Ambientes con Balcón, en Almagro.","Panamá  al 900 3ro. Frente, Almagro, Capital Federal",Almagro,155000.0,USD,,2.0,,67.0,,280000.0,65.0,2313.4,https://www.argenprop.com/departamento-en-venta-en-almagro-3-ambientes--19620824
argenprop,19477250,Departamento,Amplio Monoambiente en Recoleta - Apto Profesional,"Paraná 1000, Recoleta, Capital Federal",Recoleta,80000.0,USD,,,1.0,32.0,,170000.0,50.0,2500.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--19477250
argenprop,19415994,Departamento,Excelente semipiso 30 mts. Almagro Norte/Palermo- Gran Balcón -Vista abierta -,"Tucumán 3500, Piso 7, Almagro Norte, Almagro, Capital Federal",Almagro,77000.0,USD,,,,,,145000.0,,,https://www.argenprop.com/departamento-en-venta-en-almagro-norte-1-ambiente--19415994
argenprop,16661672,Departamento,ARAOZ 1036,"ARAOZ 1000, Piso 2, Villa Crespo, Capital Federal",Villa Crespo,140000.0,USD,,1.0,,42.0,,,1.0,3333.3,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-2-ambientes--16661672
argenprop,10409398,Departamento,OPORTUNIDAD  -  2 AMB  CON BALCON EN VILLA URQUIZA,"Nahuel Huapi 5800, Piso 5, Villa Urquiza, Capital Federal",Villa Urquiza,118000.0,USD,,1.0,,40.0,,217000.0,4.0,2950.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-2-ambientes--10409398
argenprop,18939716,Departamento,"Excelente monoambiente en semi piso, contrafrfente vista abierta.","Av. Congreso 4900, Piso 10, Villa Urquiza, Capital Federal",Villa Urquiza,90000.0,USD,,,,32.0,,,35.0,2812.5,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza--18939716
argenprop,19582467,Departamento,Impecable 3 amb al frente con increible vista abierta y panoramica. Como nuevo.,"Franklin Delano Roosevelt 5300, Piso 13, Villa Urquiza, Capital Federal",Villa Urquiza,160000.0,USD,,2.0,,71.0,,,40.0,2253.5,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-3-ambientes--19582467
argenprop,19244054,Departamento,Departamento en Villa Urquiza 4 amb cochera cubierta y baulera - 2 balcones - Muy luminoso,"Lugones al 2400, Villa Urquiza, Capital Federal",Villa Urquiza,189900.0,USD,,3.0,,74.0,,,40.0,2566.2,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-4-ambientes--19244054
argenprop,18188012,Departamento,VENTA DE DPTO 1 AMB NUÑEZ,"Avenida Cabildo 4200, Piso 12, Nuñez, Capital Federal",Nuñez,69000.0,USD,,1.0,,30.0,,119000.0,50.0,2300.0,https://www.argenprop.com/departamento-en-venta-en-nunez-1-ambiente--18188012
